regno,n,ran,wins,st_sum,st_n,ran1,win1,ran2,win2,ran3,win3,ran4,win4,ran5,win5,ran6,win6
3801,292,289,44,48.1,288,43,22,57,5,49,3,55,10,46,2,39,2
3802,165,164,20,27.15,164,25,9,27,2,28,4,31,3,32,2,21,0
3804,385,382,35,64.08,382,49,18,75,8,73,5,66,2,74,2,45,0
3805,416,410,60,54.910000000000004,413,77,36,72,6,67,8,62,4,63,5,69,1
3807,425,423,45,73.47999999999999,424,63,22,83,6,72,10,76,4,71,2,58,1
3808,390,384,28,62.42,388,55,20,66,3,74,1,68,3,69,1,52,0
3809,389,383,34,64.93,384,51,17,46,3,73,3,75,3,68,1,70,7
3811,550,548,122,83.28,549,116,71,90,15,93,15,75,13,81,7,93,1
3812,426,421,31,72.05,423,65,17,73,5,78,2,84,4,66,2,55,1
3813,485,481,123,78.19,483,104,73,88,19,84,17,66,8,73,4,66,2
3814,444,433,46,82.06,442,66,26,80,8,71,3,81,5,76,4,59,0
3820,275,266,8,43.209999999999994,272,41,3,38,1,48,0,44,1,41,3,54,0
3822,538,528,150,85.88000000000001,536,125,86,86,12,73,13,82,16,84,12,78,11
3825,398,392,42,50.36,394,56,16,71,6,70,4,74,12,62,1,59,3
3826,443,433,75,67.84,438,86,47,69,7,75,8,67,5,67,6,69,2
3827,374,371,15,64.1,373,55,8,68,2,73,1,66,2,66,2,43,0
3828,422,415,53,72.06,419,74,40,72,8,69,3,63,1,72,1,65,0
3831,327,322,40,50.59,326,51,21,56,7,57,6,54,3,51,1,53,2
3832,352,351,22,57.97,352,52,13,69,2,67,2,50,3,57,2,56,0
3833,511,506,148,64.62,508,117,91,86,25,78,16,84,10,66,2,75,4
3834,343,340,32,65.8,342,52,21,63,4,59,3,53,1,64,2,49,1
3837,482,480,110,74.69,480,87,64,82,17,83,11,90,11,69,6,69,1
3838,462,455,77,64.95,460,82,43,85,15,67,6,70,7,76,5,75,1
3839,382,381,23,65.41999999999999,381,56,14,65,4,72,2,70,3,69,0,49,0
3841,533,524,101,88.75,533,101,57,96,14,92,13,78,11,78,5,79,1
3842,429,422,71,76.81,426,75,43,73,14,70,8,72,5,68,0,64,1
3843,470,468,66,75.86,468,71,35,82,4,86,12,86,12,77,2,66,1
3845,352,349,69,67.88,350,71,42,57,7,64,13,56,3,50,1,51,3
3848,489,483,74,70.47999999999999,488,83,43,87,8,82,10,86,8,76,3,69,2
3849,465,459,172,60.58,460,104,82,77,12,69,22,75,22,62,9,72,25
3850,440,436,57,63.91,439,63,32,77,5,77,8,87,4,71,6,61,2
3851,198,192,17,34.55,193,27,9,32,2,36,4,32,0,33,1,32,1
3852,453,447,55,76.89000000000001,451,68,32,83,5,73,4,73,7,76,5,74,2
3853,518,513,97,97.47,515,102,68,81,8,93,11,76,5,80,4,81,1
3854,482,475,112,64.74000000000001,478,111,72,75,12,69,8,69,5,75,5,76,10
3855,179,174,4,39.11,177,23,3,31,0,35,0,34,1,28,0,23,0
3857,360,352,43,69.93,356,25,8,31,0,26,5,39,5,87,8,144,17
3859,324,315,26,49.5,320,51,14,58,7,54,1,47,1,53,2,52,1
3860,404,395,25,76.37,401,59,8,75,7,82,7,57,2,69,1,53,0
